Frame #,Box Est.,Actual, Accuracy
1,253,318,79.5597
2,248,321,77.2586
3,306,321,95.3271
4,334,320,104.375
5,278,308,90.2597
6,257,321,80.0623
7,259,318,81.4465
8,253,319,79.3103
9,262,323,81.1146
10,257,307,83.7134
11,274,311,88.1029
12,252,312,80.7692
13,264,310,85.1613
14,263,311,84.5659
15,253,304,83.2237
16,268,317,84.5426
17,251,310,80.9677
18,250,308,81.1688
19,327,307,106.515
20,255,301,84.7176
21,249,299,83.2776
22,246,304,80.9211
23,264,306,86.2745
24,327,306,106.863
25,262,300,87.3333
26,316,303,104.29
27,266,294,90.4762
28,264,300,88
29,243,297,81.8182
30,312,298,104.698
31,306,295,103.729
32,302,302,100
33,301,299,100.669
34,266,298,89.2617
35,236,291,81.0997
36,242,296,81.7568
37,262,298,87.9195
38,242,296,81.7568
39,322,291,110.653
40,317,287,110.453
41,248,292,84.9315
42,244,294,82.9932
43,248,285,87.0175
44,245,288,85.0694
45,250,291,85.9107
46,262,289,90.6574
47,245,285,85.9649
48,255,289,88.2353
49,250,289,86.5052
50,244,282,86.5248
51,247,283,87.2792
52,259,286,90.5594
53,311,283,109.894
54,322,284,113.38
55,309,286,108.042
56,316,283,111.661
57,258,278,92.8058
58,258,277,93.1408
59,265,279,94.9821
60,257,284,90.493
61,263,282,93.2624
62,269,280,96.0714
63,305,280,108.929
64,308,278,110.791
65,300,277,108.303
66,263,279,94.2652
67,248,280,88.5714
68,298,280,106.429
69,241,281,85.7651
70,255,276,92.3913
71,240,277,86.6426
72,245,275,89.0909
73,263,272,96.6912
74,253,270,93.7037
75,265,270,98.1481
76,251,270,92.963
77,252,267,94.382
78,294,271,108.487
